Date,Open,High,Low,Close,Adj Close,Volume
2023-10-30,149.733002,149.845993,148.813995,149.733002,149.733002,0
2023-10-31,149.110992,151.529007,149.029999,149.110992,149.110992,0
2023-11-01,151.294006,151.432007,150.824005,151.294006,151.294006,0
2023-11-02,150.574997,150.587997,149.850006,150.574997,150.574997,0
2023-11-03,150.496994,150.492996,149.259003,150.496994,150.496994,0
2023-11-06,149.449005,149.830002,149.382004,149.449005,149.449005,0
2023-11-07,149.988998,150.686996,149.968994,149.988998,149.988998,0
2023-11-08,150.395996,150.981995,150.345993,150.395996,150.395996,0
2023-11-09,150.863998,151.175995,150.798004,150.863998,150.863998,0
2023-11-10,151.348999,151.559006,151.225006,151.348999,151.348999,0
2023-11-13,151.468994,151.903000,151.240005,151.468994,151.468994,0
2023-11-14,151.684006,151.781998,150.639999,150.647995,150.647995,0
