Unnamed: 0.1,Date,Daily_Change,Daily_Change_Open_to_Close,%K,%D,KalmanFilterEst,Short_Moving_Avg,Long_Moving_Avg,RSI,HurstExponent,DaysSincePeak,DaysSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,CPI_Difference_Change,Interest_Rate_Difference_Change,Currency_Account_difference,FDI_Difference_Change,M2_Difference_Change
692,2006-10-26,-0.4708299785550762,0.0252217745763605,18.68112059894871,51.18667432112255,118.63597154728654,118.93600006103516,118.75799942016602,44.11211061611195,0.5087942135439436,2,7,-0.3499984741210937,0.0299987792968892,False,False,-41.41751077256259,-2359.580264470935,1.9999694824221592,159.9884033203125,3.2499694824224434,-425.003051757642,0.0007089684509039,-0.0220000000000002,3.2128187181538137,-0.0033698630136986,-3.818400551217072e-05
693,2006-10-27,-0.6757859781418296,-0.008442732782392,12.476167325146443,29.115939825098863,117.98334637156466,118.70800018310548,118.73899955749512,38.49921154590531,0.5182226647573441,3,0,-0.9499969482421732,0.0,False,False,-65.26251757218802,-2384.5006799625426,-22.79998779296904,-2479.99572753912,-1.8999862670895595,-514.9955749512003,0.0007089684509039,0.0210000000000007,3.209397576553679,-0.0033698630136986,-3.818400551215684e-05
694,2006-10-30,0.0255135047029453,-0.0510334980896545,15.25419832411912,15.470495416071444,117.75260600157928,118.36999969482422,118.73649940490722,31.204387183721,0.5327582595100049,0,3,0.0,-0.8500061035156392,False,False,-23.074036998539786,4218.848057364823,-33.800048828125284,-1100.006103515625,-0.2500152587899151,164.99710082996444,0.0007089684509039,-0.0350000000000001,3.1991341517532748,-0.0033698630136989,-3.818400551217072e-05
695,2006-10-31,-0.6972193610821575,0.0,4.953668601177186,10.894678083480937,117.15768334065568,117.86000061035156,118.6734992980957,26.32424581607674,0.5298359193477302,1,0,0.0900039672851562,0.0,False,False,-59.49226609236007,-3641.8229093820287,-50.99990844726534,-1719.9859619140057,-6.300010681151491,-604.9995422361576,0.0007089684509039,-0.0510000000000001,3.19571301015314,-0.0033698630136984,-3.818400551215684e-05
696,2006-11-01,0.3681824657975507,0.0085642059697293,18.769249549278847,12.992372158191737,117.19619790863185,117.51600036621092,118.64349937438963,32.85716188739278,0.5391643280660225,0,1,0.0,-0.8099975585937642,False,False,3.8514567976164926,6334.372288997656,-34.40002441406307,1659.9884033202272,-2.999992370605753,330.0018310545738,-0.0052564102564102,0.0209999999999999,3.192291868553005,-0.0033698630136984,-3.988075447995676e-05
697,2006-11-02,-0.1023739509745325,-0.0085327897340971,15.457354788711378,13.060090979722489,117.13674338840568,117.26000061035155,118.60599937438964,29.83869975364445,0.5687934304334582,1,0,0.4099960327148579,0.0,False,False,-5.945452022615427,-979.690882023192,-25.599975585936363,880.0048828126705,-3.749999999999432,-75.00076293936786,-0.0052564102564102,0.076999999999999,3.1888707269528704,-0.0033698630136989,-3.988075447997064e-05
698,2006-11-06,0.1610398428595782,-0.0720517981424448,51.65560571649513,37.492446762598014,117.97439663709442,117.45200042724608,118.5134994506836,46.64537909349078,0.5585306484503016,0,4,0.0,0.68499755859375,False,False,31.64899267863177,-2046.7339511610303,11.199951171875,319.9920654297728,-4.099998474120525,104.99954223647023,-0.0052564102564102,-0.036999999999999,3.1751861605523315,-0.0033698630136984,-3.988075447997064e-05
699,2006-11-07,-0.4908198697147203,0.0084641925915532,32.45022572422502,43.1567370744359,117.73682418690083,117.61199951171876,118.40949935913086,39.78492355363669,0.5335330231309254,1,0,0.285003662109375,0.0,False,False,-23.757245019356787,-5540.623769798856,15.99990844726591,479.9957275390909,-10.400009155273438,-630.0010681152912,-0.0052564102564102,-0.0460000000000002,3.171765018952197,-0.0033698630136989,-3.988075447995676e-05
700,2006-11-08,0.2041036658206874,-0.0084994533099846,40.397436318484345,41.50108925306819,117.79441113797957,117.73399963378908,118.31399955749512,46.31753761628261,0.5396542351053748,0,1,0.0,-0.599998474121108,False,False,5.758695107870437,2951.5940127227223,12.200012207031818,-379.9896240234091,-9.549980163573936,85.0028991699503,-0.0052564102564102,0.0009999999999994,3.168343877352062,-0.0033698630136984,-3.988075447995676e-05
701,2006-11-09,-0.0339479885476778,-0.0169772317321961,39.07290121944152,37.30685442071698,117.79168547060614,117.87200012207032,118.23449974060058,41.85638831620175,0.5183749284375431,1,2,0.2299957275390909,-0.370002746582017,False,False,-0.2725667373411511,-603.1261845211588,13.800048828125,160.00366210931816,-7.949981689453978,159.9998474119957,-0.0052564102564102,-0.0139999999999993,3.164922735751927,-0.0033698630136984,-3.988075447995676e-05
