,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Change,Daily_Change_Open_to_Close,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,BBand_Upper,BBand_Middle,BBand_Lower,Bollinger_Bandwidth,Bollinger_PercentB,HurstExponent,DaysSincePeak,DaysSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,Interest_Rate_Difference,Interest_Rate_Difference_Change,Currency_Account_difference,DataAge,Weight
3339,2018-02-13,108.67400360107422,108.75299835205078,107.43399810791016,108.69000244140624,108.69000244140624,0,-0.10110349932548335,-0.11580831539466015,41.411221958937205,23.33983268264662,23.33983268264662,23.5648603445232,108.7365146135142,False,False,Hold,108.96840057373046,109.62265052795411,39.81897376807979,111.33925675826431,109.62265052795411,107.9060442976439,0.03131845876819892,0.22834536247158613,0.5381124867470801,1,4,-0.11199951171873579,0.0970001220703125,False,False,-7.52582753612927,-562.1427886279662,-8.099975585938068,1660.003662109375,-9.454994201659872,204.49829101565342,-2.11,0.3000000000000025,-0.20558189950902206,1783,1.917109584036113e-39
3340,2018-02-14,107.75900268554688,107.88600158691406,106.7239990234375,107.76399993896484,107.76399993896484,0,-0.8519665853725544,-0.8565642974948446,27.785194953964815,30.323466564067022,30.323466564067022,24.45015532721136,108.13546749008465,False,False,Hold,108.59580078125,109.49145050048828,39.0062482682481,111.34931148860196,109.49145050048828,107.63358951237461,0.03393618368596526,0.03509692797915945,0.5770219747229776,2,5,-1.0270004272460795,-0.8180007934570312,False,False,-60.104712342955224,-5257.888480682595,-37.25997924804574,-2916.000366210767,-13.120002746582315,-366.50085449224434,-2.14,0.09999999999999787,-0.19430469728523825,1782,2.015401894282622e-39
3341,2018-02-15,106.59200286865234,106.8740005493164,106.19400024414062,106.58699798583984,106.58699798583984,0,-1.0922032903303736,-1.0875589909211734,9.197226780176084,26.13121456435931,26.13121456435931,26.598171270357614,107.17846070591867,False,False,Hold,108.07400054931641,109.25200042724609,30.279650610504845,111.30118710339188,109.25200042724609,107.2028137511003,0.0375130280110597,-0.1502585812286036,0.6021548357907558,3,6,-2.194000244140611,-1.9850006103515625,True,False,-95.70067841659835,-3559.5966073643126,-52.18002319335966,-1492.004394531392,-23.945007324219603,-1082.5004577637287,-2.15,0.129999999999999,-0.18302749506145444,1781,2.118733759040802e-39
3342,2018-02-16,106.05999755859376,106.37000274658205,105.55799865722656,106.11100006103516,106.11100006103516,0,-0.4465816035722492,-0.49443218892053975,11.265042358722663,16.082488030954465,16.082488030954465,24.179056386460235,106.51873374572777,False,True,Buy,107.59040069580078,109.00625038146973,32.71810085306396,111.30871748525216,109.00625038146973,106.7037832776873,0.04224468038713193,-0.12872783625840475,0.6162307351741583,4,0,-2.7260055541991903,0.0,False,False,-65.97269601908948,2972.7982397508868,-48.359985351562784,382.0037841796875,-24.57500457763615,-62.99972534165477,-2.163,0.08000000000000007,-0.17175029283767063,1780,2.2273635617957438e-39
3343,2018-02-20,106.7239990234375,107.34600067138672,106.6449966430664,106.70899963378906,106.70899963378906,0,0.42160156612920385,0.4357171771477592,23.446730273392877,16.34415186455564,16.34415186455564,14.673652420775573,106.57548222198152,False,False,Hold,106.6863998413086,108.57225036621094,36.38809975800747,110.97632757375655,108.57225036621094,106.16817315866533,0.044285297567964774,0.11248109532968814,0.5862997163995125,8,4,-2.0620040893554545,0.6640014648437358,False,True,21.603571039450742,3753.2294453527015,-39.6200561523429,1115.9973144532387,-21.28501892089787,82.99636840831681,-2.171,0.19000000000000128,-0.1266414839425355,1776,2.7205079978027505e-39
3344,2018-02-21,107.3730010986328,107.88899993896484,107.3030014038086,107.38099670410156,107.38099670410156,0,0.6297473246105856,0.6222544182051182,37.135801241154866,24.967738158699706,24.967738158699706,17.63540246335732,107.07331755036198,False,False,Hold,106.60979919433593,108.43595008850097,38.079661804608214,110.78499256161132,108.43595008850097,106.08690761539063,0.04332589830573998,0.27545033849418704,0.5867898646427449,9,5,-1.4130020141601562,1.313003540039034,False,False,49.783532838046085,2817.996179859534,-7.660064697266478,3195.999145507642,-13.630027770996378,765.4991149901491,-2.19,-0.08999999999999897,-0.11536428171875168,1775,2.859991425549872e-39
3345,2018-02-22,107.62999725341795,107.75700378417967,106.64900207519533,107.55500030517578,107.55500030517578,0,0.16204319797263889,0.23188511650952215,42.525596493337275,34.369376002628286,34.369376002628286,25.22708867529451,107.37101386463159,True,False,Sell,106.80339965820312,108.34740028381347,37.82720648000775,110.68906940775942,108.34740028381347,106.00573115986752,0.04322520185647281,0.33080445257303986,0.593993661688546,0,6,0.0,1.5699996948241903,True,False,29.769631426961496,-2001.390141108459,19.360046386718466,2702.0111083984943,-8.854980468750284,477.5047302246094,-2.181,0.16000000000000014,-0.10408707949496787,1774,3.006626321563833e-39
3346,2018-02-23,106.84500122070312,107.11399841308594,106.52300262451172,106.81400299072266,106.81400299072266,0,-0.6889473407564739,-0.6601265236001208,29.777231931295695,36.47954322192922,36.47954322192922,31.938885794419036,107.02676221245258,False,True,Buy,106.94400024414062,108.20290031433106,29.125087394348014,110.54855180663009,108.20290031433106,105.85724882203203,0.04335653638645311,0.20394209707446476,0.630946570471311,1,0,-0.7849960327148295,0.0,False,False,-34.42516521790111,-6419.479664486261,14.060058593750568,-529.9987792967897,-14.44999694824105,-559.5016479490766,-2.197,0.09999999999999787,-0.09280987727118406,1773,3.160779349463414e-39
3347,2018-02-26,107.052001953125,107.06300354003906,106.38300323486328,107.0739974975586,107.0739974975586,0,0.24340863515668332,0.2228162560511988,35.94115710611328,36.08132851024869,36.08132851024869,35.643415911602034,107.05595522411639,True,False,Sell,107.10659942626953,108.12465019226075,35.636070626434915,110.51095200350245,108.12465019226075,105.73834838101904,0.04413982948381391,0.2798575415413514,0.6563375426672431,0,3,0.0,0.207000732421875,False,False,2.9193011663807056,3734.4466384281814,16.259918212890057,219.9859619139488,-7.825012207031534,662.4984741209516,-2.207,0.49000000000000377,-0.05897827059983274,1770,3.672301681915042e-39
3348,2018-02-27,107.08599853515624,107.63999938964844,106.79499816894533,107.06900024414062,107.06900024414062,0,-0.004667102690436575,0.011208171804658433,35.822682694777356,33.847023910728716,33.847023910728716,35.46929854763551,107.06401748987528,False,True,Buy,107.17859954833985,108.0318000793457,30.347261950537714,110.43063271586892,108.0318000793457,105.63296744282248,0.04440975036538061,0.2993190895133642,0.6718961325259366,1,0,0.03399658203123579,0.0,False,False,0.8062265758894682,-211.30745904912374,7.200012207032103,-905.9906005857954,-9.285011291504475,-145.99990844729405,-2.2560000000000002,-0.10000000000000231,-0.04770106837604893,1769,3.8605846153703324e-39
