Date,PX_LAST,PX_BID
12/5/2015,2.2489,2.2507
11/5/2015,2.2797,2.2816
8/5/2015,2.1478,2.1496
7/5/2015,2.18,2.1818
6/5/2015,2.2431,2.2449
5/5/2015,2.1853,2.1871
4/5/2015,2.144,2.1458
1/5/2015,2.1135,2.1153
30/4/2015,2.0317,2.0334
29/4/2015,2.0388,2.0405
28/4/2015,2.0034,2.0052
27/4/2015,1.9208,1.9226
24/4/2015,1.9086,1.9104
23/4/2015,1.9577,1.9594
22/4/2015,1.9788,1.9805
21/4/2015,1.9087,1.9105
20/4/2015,1.8896,1.8913
17/4/2015,1.8653,1.867
16/4/2015,1.8897,1.8914
15/4/2015,1.888,1.8897
14/4/2015,1.8985,1.9002
13/4/2015,1.9272,1.929
10/4/2015,1.9473,1.9491
9/4/2015,1.9596,1.9613
8/4/2015,1.9047,1.9064
7/4/2015,1.8848,1.8865
6/4/2015,1.8952,1.8969
3/4/2015,1.8389,1.8407
2/4/2015,1.9117,1.9126
1/4/2015,1.8573,1.859
31/3/2015,1.9231,1.9249
30/3/2015,1.9475,1.9484
27/3/2015,1.9615,1.9632
26/3/2015,1.9894,1.9912
25/3/2015,1.925,1.9267
24/3/2015,1.8731,1.8748
23/3/2015,1.912,1.9129
20/3/2015,1.9303,1.932
19/3/2015,1.9685,1.9703
18/3/2015,1.9199,1.9217
17/3/2015,2.0507,2.0515
16/3/2015,2.0717,2.0735
13/3/2015,2.114,2.1157
12/3/2015,2.1156,2.1174
11/3/2015,2.1086,2.1103
10/3/2015,2.1297,2.1315
9/3/2015,2.1907,2.1925
6/3/2015,2.2414,2.2432
5/3/2015,2.1154,2.1172
4/3/2015,2.1172,2.1189
3/3/2015,2.1189,2.1207
2/3/2015,2.082,2.0838
27/2/2015,1.993,1.9947
26/2/2015,2.0295,2.0313
25/2/2015,1.9688,1.9705
24/2/2015,1.98,1.9818
23/2/2015,2.0574,2.0592
20/2/2015,2.1117,2.1134
19/2/2015,2.1142,2.116
18/2/2015,2.08,2.0818
17/2/2015,2.1379,2.1396
16/2/2015,2.0504,2.0521
13/2/2015,2.0504,2.0521
12/2/2015,1.9844,1.9861
11/2/2015,2.0176,2.0194
10/2/2015,1.9967,1.9984
9/2/2015,1.9775,1.9793
6/2/2015,1.9567,1.9584
5/2/2015,1.8204,1.8221
4/2/2015,1.7513,1.753
3/2/2015,1.7915,1.7932
2/2/2015,1.6642,1.6659
30/1/2015,1.6407,1.6424
29/1/2015,1.7512,1.7529
28/1/2015,1.7207,1.7224
27/1/2015,1.8231,1.8248
26/1/2015,1.8241,1.8258
23/1/2015,1.7968,1.7985
22/1/2015,1.8631,1.8648
21/1/2015,1.8717,1.8735
20/1/2015,1.788,1.7897
19/1/2015,1.8368,1.8385
16/1/2015,1.8368,1.8385
15/1/2015,1.7149,1.7166
14/1/2015,1.8553,1.857
13/1/2015,1.9,1.9017
12/1/2015,1.907,1.9087
9/1/2015,1.9449,1.9467
8/1/2015,2.0179,2.0196
7/1/2015,1.9677,1.9694
6/1/2015,1.9402,1.9419
5/1/2015,2.032,2.0337
2/1/2015,2.1105,2.1123
1/1/2015,2.1712,2.173
31/12/2014,2.1712,2.173
30/12/2014,2.1871,2.1889
29/12/2014,2.2021,2.2039
26/12/2014,2.2499,2.2516
25/12/2014,2.2632,2.2649
24/12/2014,2.2632,2.2649
23/12/2014,2.2614,2.2632
22/12/2014,2.1583,2.16
19/12/2014,2.1618,2.1635
18/12/2014,2.2075,2.2093
17/12/2014,2.1356,2.1374
16/12/2014,2.0591,2.0608
15/12/2014,2.1182,2.12
12/12/2014,2.0817,2.0835
11/12/2014,2.162,2.1638
10/12/2014,2.1638,2.1656
9/12/2014,2.2129,2.2147
8/12/2014,2.257,2.2587
5/12/2014,2.3065,2.3083
4/12/2014,2.2341,2.2358
3/12/2014,2.2799,2.2817
2/12/2014,2.2923,2.2941
1/12/2014,2.235,2.2367
28/11/2014,2.164,2.1658
27/11/2014,2.2447,2.2464
26/11/2014,2.2447,2.2464
25/11/2014,2.257,2.2588
24/11/2014,2.3064,2.3081
21/11/2014,2.3099,2.3117
20/11/2014,2.3373,2.3391
19/11/2014,2.3594,2.3612
18/11/2014,2.3151,2.3169
17/11/2014,2.3399,2.3417
14/11/2014,2.3204,2.3222
13/11/2014,2.3399,2.3416
12/11/2014,2.3712,2.373
11/11/2014,2.3604,2.3622
10/11/2014,2.3604,2.3622
7/11/2014,2.2976,2.2994
6/11/2014,2.3856,2.3874
5/11/2014,2.3424,2.3442
4/11/2014,2.3335,2.3353
3/11/2014,2.3425,2.3443
31/10/2014,2.3353,2.3371
30/10/2014,2.3058,2.3067
29/10/2014,2.3174,2.3183
28/10/2014,2.296,2.2978
27/10/2014,2.2605,2.2622
24/10/2014,2.2685,2.2703
23/10/2014,2.2712,2.273
22/10/2014,2.2164,2.2181
21/10/2014,2.2217,2.2235
20/10/2014,2.1909,2.1926
17/10/2014,2.1936,2.1953
16/10/2014,2.1559,2.1577
15/10/2014,2.1358,2.1385
14/10/2014,2.1973,2.1991
13/10/2014,2.2804,2.2821
10/10/2014,2.2804,2.2821
9/10/2014,2.3133,2.3151
8/10/2014,2.3213,2.3231
7/10/2014,2.3391,2.3409
6/10/2014,2.4196,2.4214
3/10/2014,2.434,2.4358
2/10/2014,2.425,2.4268
1/10/2014,2.3856,2.3873
30/9/2014,2.4888,2.4906
29/9/2014,2.4771,2.4789
26/9/2014,2.5276,2.5294
25/9/2014,2.5022,2.504
24/9/2014,2.5637,2.5656
23/9/2014,2.5275,2.5293
22/9/2014,2.5636,2.5655
19/9/2014,2.5745,2.5763
18/9/2014,2.6144,2.6162
17/9/2014,2.6198,2.6216
16/9/2014,2.5924,2.5942
15/9/2014,2.5887,2.5906
12/9/2014,2.6105,2.6123
11/9/2014,2.5496,2.5514
10/9/2014,2.5414,2.5432
9/9/2014,2.5036,2.5054
8/9/2014,2.4712,2.473
5/9/2014,2.4587,2.4605
4/9/2014,2.4497,2.4515
3/9/2014,2.3962,2.398
2/9/2014,2.4211,2.422
1/9/2014,2.3431,2.3448
29/8/2014,2.3431,2.3448
28/8/2014,2.3361,2.3378
27/8/2014,2.3573,2.359
26/8/2014,2.3962,2.398
25/8/2014,2.382,2.3838
22/8/2014,2.4024,2.4042
21/8/2014,2.4068,2.4086
20/8/2014,2.4264,2.4281
19/8/2014,2.3997,2.4015
18/8/2014,2.3927,2.3944
15/8/2014,2.3397,2.3415
14/8/2014,2.4015,2.4033
13/8/2014,2.4166,2.4184
12/8/2014,2.4491,2.4509
11/8/2014,2.4275,2.4293
8/8/2014,2.4203,2.4221
7/8/2014,2.4114,2.4131
6/8/2014,2.4708,2.4726
5/8/2014,2.4844,2.4862
4/8/2014,2.4817,2.4835
1/8/2014,2.4925,2.4943
31/7/2014,2.5578,2.5597
30/7/2014,2.5569,2.5587
29/7/2014,2.4601,2.4619
28/7/2014,2.4853,2.4871
25/7/2014,2.4655,2.4673
24/7/2014,2.5025,2.5043
23/7/2014,2.4655,2.4673
22/7/2014,2.4601,2.4619
21/7/2014,2.4674,2.4692
18/7/2014,2.4809,2.4827
17/7/2014,2.4458,2.4476
16/7/2014,2.526,2.5278
15/7/2014,2.5468,2.5486
14/7/2014,2.5468,2.5486
11/7/2014,2.516,2.5178
10/7/2014,2.5359,2.5377
9/7/2014,2.5503,2.5521
8/7/2014,2.5557,2.5576
7/7/2014,2.611,2.6129
4/7/2014,2.6383,2.6402
3/7/2014,2.6383,2.6402
2/7/2014,2.6264,2.6282
1/7/2014,2.5647,2.5665
30/6/2014,2.5304,2.5322
27/6/2014,2.534,2.5358
26/6/2014,2.5286,2.5304
25/6/2014,2.5592,2.561
24/6/2014,2.5781,2.58
23/6/2014,2.6261,2.6279
20/6/2014,2.6052,2.6071
19/6/2014,2.6206,2.6224
18/6/2014,2.5844,2.5862
17/6/2014,2.6523,2.6541
16/6/2014,2.597,2.5988
13/6/2014,2.6033,2.6051
12/6/2014,2.5951,2.5969
11/6/2014,2.6394,2.6412
10/6/2014,2.6439,2.6457
9/6/2014,2.6032,2.605
6/6/2014,2.5869,2.5887
5/6/2014,2.5824,2.5842
4/6/2014,2.6021,2.6039
3/6/2014,2.5985,2.6003
2/6/2014,2.5267,2.5285
30/5/2014,2.4759,2.4777
29/5/2014,2.4644,2.4661
28/5/2014,2.4431,2.4449
27/5/2014,2.5142,2.516
26/5/2014,2.5321,2.5338
23/5/2014,2.5321,2.5338
22/5/2014,2.5499,2.5517
21/5/2014,2.532,2.5338
20/5/2014,2.5106,2.5124
19/5/2014,2.5445,2.5463
16/5/2014,2.5231,2.5249
15/5/2014,2.4893,2.4911
14/5/2014,2.5427,2.5445
13/5/2014,2.6089,2.6107
12/5/2014,2.6611,2.6629
9/5/2014,2.6233,2.6251
8/5/2014,2.6161,2.6179
7/5/2014,2.5878,2.5896
6/5/2014,2.5914,2.5933
5/5/2014,2.6068,2.6086
2/5/2014,2.5843,2.5861
1/5/2014,2.6133,2.6151
30/4/2014,2.6459,2.6477
29/4/2014,2.6913,2.6932
28/4/2014,2.7005,2.7023
25/4/2014,2.6623,2.6641
24/4/2014,2.6805,2.6823
23/4/2014,2.6987,2.7005
22/4/2014,2.7105,2.7124
21/4/2014,2.7151,2.7169
18/4/2014,2.7215,2.7233
17/4/2014,2.7215,2.7233
16/4/2014,2.6282,2.63
15/4/2014,2.6283,2.6301
14/4/2014,2.6472,2.6491
11/4/2014,2.6247,2.6265
10/4/2014,2.6474,2.6492
9/4/2014,2.6898,2.6917
8/4/2014,2.6808,2.6826
7/4/2014,2.6998,2.7016
4/4/2014,2.7207,2.7225
