Date,PX_BID,PX_LAST
3/10/2011,1.027,1.027
30/9/2011,1.032,1.032
29/9/2011,1,1
28/9/2011,1.004,1.004
27/9/2011,1.003,1.003
26/9/2011,0.981,0.981
23/9/2011,0.987,0.987
22/9/2011,0.987,0.987
21/9/2011,0.992,0.992
20/9/2011,0.996,0.996
19/9/2011,1.013,1.013
16/9/2011,1.013,1.013
15/9/2011,0.998,0.998
14/9/2011,0.997,0.997
13/9/2011,1.007,1.007
12/9/2011,1.003,1.003
9/9/2011,1.005,1.005
8/9/2011,1.018,1.018
7/9/2011,1.009,1.009
6/9/2011,0.987,0.987
5/9/2011,1.019,1.019
2/9/2011,1.031,1.031
1/9/2011,1.052,1.052
31/8/2011,1.034,1.034
30/8/2011,1.024,1.024
29/8/2011,1.02,1.02
26/8/2011,1.043,1.043
25/8/2011,1.042,1.042
24/8/2011,1.017,1.017
23/8/2011,1.014,1.014
22/8/2011,0.987,0.987
19/8/2011,0.99,0.99
18/8/2011,0.997,0.997
17/8/2011,1.026,1.026
16/8/2011,1.043,1.043
15/8/2011,1.045,1.045
12/8/2011,1.049,1.049
11/8/2011,1.042,1.042
10/8/2011,1.043,1.043
9/8/2011,1.052,1.052
8/8/2011,1.013,1.013
5/8/2011,1.007,1.007
4/8/2011,1.023,1.023
3/8/2011,1.018,1.018
2/8/2011,1.048,1.048
1/8/2011,1.079,1.079
29/7/2011,1.082,1.082
28/7/2011,1.078,1.078
27/7/2011,1.088,1.088
26/7/2011,1.098,1.098
25/7/2011,1.095,1.095
22/7/2011,1.104,1.104
21/7/2011,1.098,1.098
20/7/2011,1.085,1.085
19/7/2011,1.074,1.074
18/7/2011,1.092,1.092
15/7/2011,1.092,1.092
14/7/2011,1.078,1.078
13/7/2011,1.113,1.113
12/7/2011,1.11,1.11
11/7/2011,1.145,1.145
8/7/2011,1.178,1.178
7/7/2011,1.178,1.178
6/7/2011,1.182,1.182
5/7/2011,1.172,1.172
4/7/2011,1.162,1.162
1/7/2011,1.14,1.14
30/6/2011,1.14,1.14
29/6/2011,1.125,1.125
28/6/2011,1.09,1.09
27/6/2011,1.1,1.1
24/6/2011,1.11,1.11
23/6/2011,1.115,1.115
22/6/2011,1.12,1.12
21/6/2011,1.13,1.13
20/6/2011,1.125,1.125
17/6/2011,1.12,1.12
16/6/2011,1.12,1.12
15/6/2011,1.165,1.165
14/6/2011,1.155,1.155
13/6/2011,1.145,1.145
10/6/2011,1.14,1.14
9/6/2011,1.135,1.135
8/6/2011,1.16,1.16
7/6/2011,1.165,1.165
6/6/2011,1.155,1.155
3/6/2011,1.14,1.14
2/6/2011,1.115,1.115
1/6/2011,1.155,1.155
31/5/2011,1.165,1.165
30/5/2011,1.13,1.13
27/5/2011,1.13,1.13
26/5/2011,1.15,1.15
25/5/2011,1.125,1.125
24/5/2011,1.135,1.135
23/5/2011,1.135,1.135
20/5/2011,1.13,1.13
19/5/2011,1.155,1.155
18/5/2011,1.16,1.16
17/5/2011,1.16,1.16
16/5/2011,1.14,1.14
13/5/2011,1.126,1.126
12/5/2011,1.125,1.125
11/5/2011,1.132,1.132
10/5/2011,1.141,1.141
9/5/2011,1.15,1.15
6/5/2011,1.146,1.146
5/5/2011,1.209,1.209
4/5/2011,1.209,1.209
3/5/2011,1.209,1.209
2/5/2011,1.21,1.21
29/4/2011,1.21,1.21
28/4/2011,1.21,1.21
27/4/2011,1.22,1.22
26/4/2011,1.224,1.224
25/4/2011,1.234,1.234
22/4/2011,1.22,1.22
21/4/2011,1.235,1.235
20/4/2011,1.235,1.235
19/4/2011,1.245,1.245
18/4/2011,1.26,1.26
15/4/2011,1.291,1.291
14/4/2011,1.298,1.298
13/4/2011,1.324,1.324
12/4/2011,1.338,1.338
11/4/2011,1.329,1.329
8/4/2011,1.325,1.325
7/4/2011,1.316,1.316
6/4/2011,1.301,1.301
5/4/2011,1.28,1.28
4/4/2011,1.301,1.301
1/4/2011,1.285,1.285
31/3/2011,1.26,1.26
30/3/2011,1.25,1.25
29/3/2011,1.235,1.235
28/3/2011,1.246,1.246
25/3/2011,1.225,1.225
24/3/2011,1.214,1.214
23/3/2011,1.225,1.225
22/3/2011,1.255,1.255
21/3/2011,1.215,1.215
18/3/2011,1.215,1.215
17/3/2011,1.211,1.211
16/3/2011,1.229,1.229
15/3/2011,1.221,1.221
14/3/2011,1.213,1.213
11/3/2011,1.255,1.255
10/3/2011,1.31,1.31
9/3/2011,1.305,1.305
8/3/2011,1.3,1.3
7/3/2011,1.283,1.283
4/3/2011,1.305,1.305
3/3/2011,1.299,1.299
2/3/2011,1.275,1.275
1/3/2011,1.285,1.285
28/2/2011,1.264,1.264
25/2/2011,1.253,1.253
24/2/2011,1.235,1.235
23/2/2011,1.255,1.255
22/2/2011,1.284,1.284
21/2/2011,1.318,1.318
18/2/2011,1.309,1.309
17/2/2011,1.345,1.345
16/2/2011,1.355,1.355
15/2/2011,1.309,1.309
14/2/2011,1.314,1.314
11/2/2011,1.315,1.315
10/2/2011,1.314,1.314
9/2/2011,1.339,1.339
8/2/2011,1.324,1.324
7/2/2011,1.295,1.295
4/2/2011,1.29,1.29
3/2/2011,1.246,1.246
2/2/2011,1.231,1.231
1/2/2011,1.236,1.236
31/1/2011,1.219,1.219
28/1/2011,1.224,1.224
27/1/2011,1.235,1.235
26/1/2011,1.24,1.24
25/1/2011,1.259,1.259
24/1/2011,1.239,1.239
21/1/2011,1.218,1.218
20/1/2011,1.214,1.214
19/1/2011,1.269,1.269
18/1/2011,1.23,1.23
17/1/2011,1.21,1.21
14/1/2011,1.205,1.205
13/1/2011,1.195,1.195
12/1/2011,1.18,1.18
11/1/2011,1.195,1.195
10/1/2011,1.205,1.205
7/1/2011,1.205,1.205
6/1/2011,1.221,1.221
5/1/2011,1.164,1.164
4/1/2011,1.17,1.17
3/1/2011,1.13,1.13
31/12/2010,1.128,1.128
30/12/2010,1.128,1.128
29/12/2010,1.169,1.169
28/12/2010,1.141,1.141
27/12/2010,1.17,1.17
24/12/2010,1.161,1.161
23/12/2010,1.149,1.149
22/12/2010,1.149,1.149
21/12/2010,1.183,1.183
20/12/2010,1.19,1.19
17/12/2010,1.201,1.201
16/12/2010,1.279,1.279
15/12/2010,1.265,1.265
14/12/2010,1.255,1.255
13/12/2010,1.256,1.256
10/12/2010,1.205,1.205
9/12/2010,1.267,1.267
8/12/2010,1.25,1.25
7/12/2010,1.178,1.178
6/12/2010,1.165,1.165
3/12/2010,1.215,1.215
2/12/2010,1.21,1.21
1/12/2010,1.154,1.154
30/11/2010,1.194,1.194
29/11/2010,1.183,1.183
26/11/2010,1.195,1.195
25/11/2010,1.16,1.16
24/11/2010,1.134,1.134
23/11/2010,1.135,1.135
22/11/2010,1.134,1.134
19/11/2010,1.071,1.071
18/11/2010,1.115,1.115
17/11/2010,1.065,1.065
16/11/2010,1.036,1.036
15/11/2010,1.055,1.055
12/11/2010,1.003,1.003
11/11/2010,1.01,1.01
10/11/2010,1,1
9/11/2010,0.98,0.98
8/11/2010,0.964,0.964
5/11/2010,0.936,0.936
4/11/2010,0.925,0.925
3/11/2010,0.95,0.95
2/11/2010,0.949,0.949
1/11/2010,0.955,0.955
29/10/2010,0.939,0.939
28/10/2010,0.915,0.915
27/10/2010,0.955,0.955
26/10/2010,0.91,0.91
25/10/2010,0.903,0.903
22/10/2010,0.896,0.896
21/10/2010,0.891,0.891
20/10/2010,0.9,0.9
19/10/2010,0.89,0.89
18/10/2010,0.88,0.88
15/10/2010,0.885,0.885
14/10/2010,0.885,0.885
13/10/2010,0.884,0.884
12/10/2010,0.86,0.86
11/10/2010,0.875,0.875
8/10/2010,0.873,0.873
7/10/2010,0.869,0.869
6/10/2010,0.845,0.845
5/10/2010,0.918,0.918
4/10/2010,0.947,0.947
1/10/2010,0.965,0.965
30/9/2010,0.94,0.94
29/9/2010,0.93,0.93
28/9/2010,0.97,0.97
27/9/2010,1.004,1.004
24/9/2010,1.007,1.007
23/9/2010,1.035,1.035
22/9/2010,1.033,1.033
21/9/2010,1.056,1.056
20/9/2010,1.076,1.076
17/9/2010,1.076,1.076
16/9/2010,1.05,1.05
15/9/2010,1.051,1.051
14/9/2010,1.136,1.136
13/9/2010,1.155,1.155
10/9/2010,1.161,1.161
9/9/2010,1.13,1.13
8/9/2010,1.135,1.135
7/9/2010,1.15,1.15
6/9/2010,1.199,1.199
3/9/2010,1.147,1.147
2/9/2010,1.119,1.119
1/9/2010,1.03,1.03
31/8/2010,0.971,0.971
30/8/2010,1.029,1.029
27/8/2010,1.009,1.009
26/8/2010,0.945,0.945
25/8/2010,0.911,0.911
24/8/2010,0.929,0.929
23/8/2010,0.945,0.945
20/8/2010,0.935,0.935
19/8/2010,0.94,0.94
18/8/2010,0.924,0.924
17/8/2010,0.946,0.946
16/8/2010,0.955,0.955
13/8/2010,0.99,0.99
12/8/2010,1.009,1.009
11/8/2010,1.019,1.019
10/8/2010,1.04,1.04
9/8/2010,1.025,1.025
6/8/2010,1.064,1.064
5/8/2010,1.04,1.04
4/8/2010,1.005,1.005
3/8/2010,1.044,1.044
2/8/2010,1.055,1.055
30/7/2010,1.074,1.074
29/7/2010,1.086,1.086
28/7/2010,1.095,1.095
27/7/2010,1.06,1.06
26/7/2010,1.071,1.071
23/7/2010,1.075,1.075
22/7/2010,1.065,1.065
21/7/2010,1.095,1.095
20/7/2010,1.1,1.1
19/7/2010,1.095,1.095
16/7/2010,1.095,1.095
15/7/2010,1.09,1.09
14/7/2010,1.149,1.149
13/7/2010,1.135,1.135
12/7/2010,1.13,1.13
9/7/2010,1.164,1.164
8/7/2010,1.149,1.149
7/7/2010,1.147,1.147
6/7/2010,1.135,1.135
5/7/2010,1.115,1.115
2/7/2010,1.103,1.103
1/7/2010,1.069,1.069
30/6/2010,1.091,1.091
29/6/2010,1.118,1.118
28/6/2010,1.159,1.159
25/6/2010,1.15,1.15
24/6/2010,1.148,1.148
23/6/2010,1.175,1.175
22/6/2010,1.195,1.195
21/6/2010,1.223,1.223
18/6/2010,1.206,1.206
17/6/2010,1.23,1.23
16/6/2010,1.245,1.245
15/6/2010,1.235,1.235
14/6/2010,1.239,1.239
11/6/2010,1.237,1.237
10/6/2010,1.211,1.211
